Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3, cpu4, cpu5, cpu6, cpu7, fft1, fft2, fft3, fft4, fft5, fft6, fft7, fft8, mmult1, mmult2, zip1, zip2, gpu1
C1+F0+M0+Z0+G0,SIMPLE,2000,12980621.070422536,246124055.43661973,12980621.070422536,1247979.718309859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1500,10434461.295774648,225395418.14084506,10434461.295774648,1444195.1549295774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1000,10683529.915492957,232725583.7746479,10683529.915492957,1185939.8309859154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,500,12495778.253521128,103838650.59154929,12495778.253521128,646195.3802816902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,100,10126103.436619718,44137549.97183099,10126103.436619718,650041.690140845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,10,10420702.647887323,45230317.97183099,10420702.647887323,750114.2535211268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1800,12621604.95774648,210340205.971831,12621604.95774648,1186209.352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1300,11152532.281690141,228391829.63380283,11152532.281690141,1171290.5915492957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,800,10511598.873239437,154066535.66197184,10511598.873239437,667555.6056338028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,300,12205175.436619718,55716946.92957746,12205175.436619718,606474.3661971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,50,12234557.746478872,47758303.09859155,12234557.746478872,808494.8732394367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1700,13110158.873239437,227158038.53521127,13110158.873239437,1227159.4366197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1200,10804372.732394366,162736182.98591548,10804372.732394366,702110.1971830986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,700,10731713.352112677,137803213.07042253,10731713.352112677,616429.0704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,200,10093883.492957747,47200540.3943662,10093883.492957747,828450.2535211268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,70,9914751.09859155,43025594.14084507,9914751.09859155,613134.4225352113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,30,10761550.42253521,45412311.43661972,10761550.42253521,907908.9577464788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,80,9769759.549295774,42963850.81690141,9769759.549295774,626656.4507042253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,20,10745700.507042253,43913491.83098592,10745700.507042253,668791.4366197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1900,12798476.61971831,231306933.18309858,12798476.61971831,1420142.8732394367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1600,11307254.535211267,203971615.09859154,11307254.535211267,783375.323943662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1100,10823851.267605634,130112189.74647887,10823851.267605634,611709.2957746478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,600,12415036.394366197,143214912.90140846,12415036.394366197,817839.323943662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,90,10080305.126760563,43435183.774647884,10080305.126760563,660330.8169014085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,40,10635106.704225352,44964224.0,10635106.704225352,825804.6197183098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,SIMPLE,1400,10629740.169014085,139058775.88732395,10629740.169014085,627820.6197183098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,2000,12795444.732394366,218065465.23943663,12795444.732394366,604814.4225352113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1500,10695168.90140845,227841885.29577464,10695168.90140845,1171394.2535211267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1000,10662421.183098592,212631270.30985916,10662421.183098592,846072.338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,500,12816103.211267605,156716402.028169,12816103.211267605,1138192.2253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,100,10171295.09859155,43459575.887323946,10171295.09859155,657643.7183098592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,10,10273622.084507043,45264380.84507042,10273622.084507043,902006.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1800,12635093.633802816,191465333.63380283,12635093.633802816,645147.9436619718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1300,11194505.014084507,197863501.52112675,11194505.014084507,633880.338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,800,10594493.295774648,173133024.45070422,10594493.295774648,821922.7042253522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,300,12567498.366197184,130139923.83098592,12567498.366197184,1223131.4929577464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,50,12499564.61971831,54481083.94366197,12499564.61971831,1248518.7605633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1700,12593825.352112677,175901653.18309858,12593825.352112677,805731.1549295775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1200,10888640.0,215635392.90140846,10888640.0,918695.661971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,700,10796058.591549296,155151584.45070422,10796058.591549296,830664.5633802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,200,10235867.943661971,53346223.774647884,10235867.943661971,892375.8873239437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,70,10097421.971830986,49869682.47887324,10097421.971830986,1333113.690140845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,30,10813244.845070422,46123196.84507042,10813244.845070422,865501.7464788732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,80,9935075.605633803,43332895.09859155,9935075.605633803,609467.0422535212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,20,10756104.563380282,42872690.02816901,10756104.563380282,673933.0704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1900,12428338.47887324,174369288.56338027,12428338.47887324,602581.6338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1600,11182370.704225352,172358868.28169015,11182370.704225352,590476.6197183098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1100,11374582.985915493,233639210.36619717,11374582.985915493,1195084.1690140846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,600,12520173.971830986,152621433.69014084,12520173.971830986,753917.7464788732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,90,10106673.57746479,44138565.40845071,10106673.57746479,627632.2253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,40,10870645.183098592,49285044.73239437,10870645.183098592,1225533.7464788733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
