Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Trial 2,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3, fft1, fft2, fft3, fft4, fft5, fft6, fft7, fft8, mmult1, mmult2, zip1, zip2
C1+F0+M0+Z0,SIMPLE,2000,54565643.042253524,54440444.6056338,1214634758.4577465,54503043.82394366,799946.7394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1500,56300983.74647887,52781491.84507042,1237778572.4788733,54541237.795774646,844253.8591549296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1000,53996215.73239437,56271695.84507042,1272634281.2816901,55133955.788732395,771908.9507042253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,500,47511629.887323946,54468569.08450704,988125723.0492957,50990099.4859155,793478.6830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,100,46984606.97183099,48261815.549295776,520567793.42957747,47623211.26056338,802809.809859155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,10,42790542.64788733,43162056.873239435,236407482.6830986,42976299.76056338,770558.4507042253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1800,46655726.549295776,50313082.52112676,894267380.0352113,48484404.535211265,829663.5774647887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1300,55585611.07042254,55091215.85915493,1267417213.1056337,55338413.464788735,797703.5774647887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,800,53178728.01408451,53518212.18309859,1116371518.140845,53348470.09859155,811859.9154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,300,52911910.01408451,54062735.26760563,1066721045.5563381,53487322.640845075,804808.7394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,50,46216502.08450704,44534343.74647887,274210684.3169014,45375422.91549295,763582.795774648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1700,54889449.01408451,54582831.40845071,1253641902.4929578,54736140.211267605,763728.1197183098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1200,50914893.84507042,55697147.42253521,1130302386.859155,53306020.633802816,825625.1267605633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,700,53931074.873239435,46964073.73239437,975375999.2464788,50447574.3028169,835135.4577464788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,200,53401740.97183099,53962144.56338028,996701348.7957747,53681942.76760563,791961.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,70,46121919.366197184,47900928.67605634,365831329.68309855,47011424.02112676,813327.1126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,30,46991170.67605634,44554337.6056338,271766955.6056338,45772754.140845075,799942.8943661972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,80,47739485.25352113,47614019.366197184,432765112.30281687,47676752.30985916,773375.7957746478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,20,41988911.57746479,43139171.43661972,240931979.52816904,42564041.50704226,803641.5845070423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1900,55939278.43661972,49567375.295774646,1151554082.3521128,52753326.866197184,787123.4014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,1600,47419618.85915493,54686143.197183095,1051048250.9929578,51052881.02816901,803645.3802816902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,2000,54735528.83098592,56954763.01408451,1352072598.035211,55845145.92253521,875344.5352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,1500,55758404.535211265,56804523.49295775,1324539461.2464788,56281464.0140845,941333.2535211267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,1000,54373014.76056338,55099007.98591549,1226110882.0422535,54736011.373239435,901027.1267605633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,500,54454690.042253524,55055919.94366197,1207287947.5,54755304.99295775,891437.1408450704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,100,48510044.67605634,48071745.26760563,569371190.4014084,48290894.97183099,944248.2183098592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,10,42381076.873239435,42819598.40845071,241311053.35915494,42600337.640845075,893727.7394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,1800,47074304.05633803,54647911.3943662,1064886325.1338029,50861107.72535211,912732.352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,1300,55125015.98591549,53183634.802816905,1194674976.4718308,54154325.3943662,897683.1126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,800,55304756.84507042,46560283.26760563,1029419716.4014084,50932520.05633803,928052.8309859155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,300,52211264.0,48459890.02816901,890159811.0492958,50335577.0140845,977730.7183098593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,50,45962211.09859155,45686105.33802817,273901972.14084506,45824158.218309864,889785.2535211267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,1700,52064088.50704225,54616174.57746479,1147611730.3521128,53340131.542253524,898831.633802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,1200,47136231.02816901,56653710.32394366,1113889519.830986,51894970.67605634,918567.7676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,700,54128480.197183095,54411712.887323946,1196678632.0211267,54270096.542253524,838685.8591549295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,200,54467351.14084507,45686758.74647887,859222886.5633802,50077054.94366197,900602.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,70,47940763.56338028,48253206.112676054,390435690.5,48096984.83802816,941075.9436619718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,30,48796055.01408451,43936352.197183095,278057647.91549295,46366203.6056338,868517.6549295775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,80,48041097.30985916,47386906.47887324,425053828.02112675,47714001.8943662,901985.7887323943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
